wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
483,0.95593652,0.85195204,0.70134271,0.56998424,0.11414326,0.062848687,0.017173080,0.032533947
484,0.96259070,0.86868052,0.7196184,0.58597578,0.11755014,0.064728330,0.017787165,0.033543755
485,0.96696234,0.87917152,0.73031511,0.59520114,0.11949653,0.065838547,0.018165005,0.034166408
486,0.96581645,0.87530535,0.72451985,0.58978789,0.11859793,0.065291711,0.017992687,0.033863440
487,0.96301220,0.86395591,0.70739764,0.57439189,0.11537063,0.063590969,0.017447575,0.032946299
488,0.95901926,0.85121738,0.69252100,0.56150425,0.11280813,0.062237678,0.01704665,0.032235109
489,0.95500219,0.83991471,0.68076181,0.55146238,0.11081087,0.061065495,0.01671503,0.031674085
490,0.95133621,0.82938823,0.66970003,0.54220045,0.10884034,0.060029641,0.016478960,0.031218416
491,0.94792392,0.82135934,0.66180739,0.53573815,0.10753834,0.059335369,0.016422635,0.03100829
492,0.94602370,0.81702474,0.65737607,0.53196464,0.10691587,0.058984434,0.016452397,0.030943046
493,0.94278279,0.81165017,0.65213164,0.5275525,0.10616453,0.05859732,0.016443526,0.030781859
494,0.939062,0.80445056,0.64513678,0.52151941,0.10508756,0.057987237,0.016150545,0.030407674
495,0.93609790,0.79853672,0.63904768,0.51611401,0.10395893,0.057365825,0.01585184,0.030065982
496,0.9348977,0.79694562,0.63726121,0.5144478,0.10348168,0.05709086,0.015730665,0.029930906
497,0.9353413,0.79682435,0.63676013,0.51416920,0.10336645,0.057076046,0.015630039,0.03002591
498,0.93513532,0.79733772,0.63637109,0.51391715,0.10313724,0.056985447,0.015610531,0.029993680
499,0.93505711,0.79709747,0.63576950,0.51358998,0.10320857,0.056905154,0.015492766,0.029839044
500,0.9351146,0.79653081,0.63570822,0.5136170,0.10348783,0.057029889,0.015440223,0.029792279
501,0.93508739,0.7962501,0.63543439,0.51306360,0.10336498,0.056903213,0.015260396,0.029555427
502,0.93507524,0.79577213,0.63557269,0.51295251,0.10353492,0.057108348,0.01536079,0.029637837
503,0.93476518,0.79564329,0.6361102,0.51295345,0.10354184,0.057177555,0.015469575,0.029774251
504,0.9351363,0.79588702,0.6359419,0.51290229,0.10342268,0.057102592,0.015499750,0.029863630
505,0.93541860,0.79608067,0.63607987,0.51309892,0.10369660,0.057150354,0.015672777,0.030031930
506,0.93540026,0.79595773,0.63588873,0.51346399,0.10383149,0.057126604,0.015780303,0.029997529
507,0.93540833,0.79606096,0.63536009,0.51319412,0.10375408,0.057075511,0.015829387,0.030007191
508,0.93533656,0.79611895,0.6355989,0.51312434,0.10372437,0.056972925,0.015746767,0.029927069
509,0.93574160,0.79627881,0.63614814,0.51329559,0.10361787,0.056999447,0.015724196,0.030035953
510,0.93649607,0.79681946,0.63648075,0.51357280,0.10360155,0.057066109,0.015807225,0.030136214
511,0.93721329,0.79749753,0.63681646,0.51378066,0.1036562,0.057142726,0.01585419,0.030175056
512,0.937274,0.79757985,0.63663039,0.51404851,0.10366848,0.057129459,0.015890060,0.03018021
513,0.93746609,0.79796136,0.63648111,0.51413332,0.10352844,0.057050601,0.015811648,0.030019404
514,0.93744760,0.79820003,0.63603822,0.51405573,0.10340851,0.056902515,0.015583019,0.029978134
515,0.93732220,0.79803614,0.63597845,0.51416686,0.10337930,0.056849554,0.015557014,0.03001386
516,0.93652323,0.79811732,0.63680637,0.51467444,0.1034436,0.056979663,0.015555035,0.030160308
517,0.93686447,0.79876431,0.63752348,0.51529573,0.1036702,0.057090841,0.015679299,0.030333193
518,0.93747301,0.79963731,0.63864515,0.51594024,0.10368772,0.057112756,0.015782352,0.030360198
519,0.93753913,0.79980982,0.6387388,0.51613392,0.1038514,0.057277303,0.01596281,0.030405255
520,0.93799140,0.80003853,0.63829517,0.51594555,0.10393469,0.057347085,0.016186117,0.030458885
521,0.93677538,0.79912706,0.63785625,0.51556638,0.10386960,0.057377402,0.016093236,0.030380801
522,0.93550684,0.79756169,0.63739346,0.51495237,0.10400486,0.057551486,0.01614094,0.030480205
523,0.93563787,0.79765018,0.63726896,0.51490761,0.10391573,0.057328031,0.01599104,0.030450210
524,0.93687109,0.79900431,0.63850684,0.51584874,0.10406947,0.057472447,0.016002254,0.030612191
525,0.93885390,0.8019479,0.641049,0.51839762,0.10463175,0.057727336,0.016237048,0.030939418
526,0.94406965,0.81189496,0.65119972,0.52729447,0.10637133,0.058512386,0.016510085,0.031472529
527,0.95251595,0.83508129,0.67750124,0.55016024,0.11118211,0.061145271,0.017289825,0.033015511
528,0.95991150,0.85554732,0.70119770,0.57085588,0.115493,0.063440998,0.017953309,0.034272786
529,0.96381609,0.8643522,0.70972025,0.57807189,0.1170747,0.064326982,0.018262686,0.034796105
530,0.96207470,0.86005710,0.70510226,0.57419404,0.11633943,0.064024495,0.018166006,0.034677565
531,0.9558973,0.84239425,0.68463374,0.55635203,0.11272289,0.061975545,0.017625781,0.033624107
532,0.94984065,0.82501582,0.66486146,0.53913771,0.10917844,0.059951829,0.017043853,0.032614361
533,0.94558438,0.81600493,0.65635926,0.53182822,0.10772737,0.059252388,0.016882808,0.032256882
534,0.94326008,0.81224591,0.65323752,0.52918563,0.10709723,0.058919136,0.016759142,0.032059086
535,0.94174345,0.80922624,0.64979358,0.52612514,0.10651506,0.058786068,0.016776446,0.031986961
536,0.93946450,0.80458641,0.64515518,0.52235873,0.10565597,0.058362760,0.016663514,0.031755670
537,0.93860339,0.80228487,0.64246612,0.52008074,0.10516784,0.058155291,0.016595012,0.031628211
538,0.93864463,0.80161221,0.64126202,0.51917773,0.10494042,0.05807895,0.016630800,0.031596225
539,0.93876539,0.80180255,0.64148613,0.5196363,0.10486273,0.058031590,0.016487224,0.031490876
540,0.94099971,0.80610225,0.64576201,0.52308807,0.10541938,0.058291623,0.016515267,0.03166842
541,0.94333348,0.81052876,0.64981245,0.52693113,0.10628722,0.058582691,0.01666625,0.03196709
542,0.94389493,0.81199631,0.65090797,0.52806471,0.10666752,0.058797244,0.016810737,0.032169112
543,0.94273170,0.81062120,0.64931945,0.52668929,0.10655824,0.058577871,0.016780485,0.032155075
544,0.93984807,0.80598541,0.64447113,0.52250999,0.10588737,0.058131954,0.016692243,0.031913931
545,0.93766032,0.8015286,0.63999789,0.51837393,0.10487568,0.057616864,0.016413611,0.03155454
546,0.93605313,0.79897505,0.63791418,0.51651117,0.10441223,0.057452576,0.016383828,0.031439998
547,0.93633696,0.79830186,0.63712389,0.51591263,0.10426474,0.057549608,0.016440548,0.031488039
548,0.93629653,0.79743942,0.6361316,0.51504169,0.10412253,0.057580418,0.016465445,0.031593671
549,0.93567247,0.79652406,0.63505080,0.51384034,0.10416188,0.057525320,0.016512098,0.031559654
550,0.93630720,0.79615824,0.63417226,0.51301445,0.10410634,0.057389968,0.01639736,0.031407844
551,0.93575406,0.79567153,0.63402849,0.51240715,0.10424303,0.057520784,0.016509437,0.03152415
552,0.93569086,0.79565958,0.63410424,0.51232170,0.1042545,0.057640192,0.016490328,0.031517644
553,0.93569135,0.79574328,0.63401421,0.5125825,0.10434526,0.057720096,0.016494393,0.031563414
554,0.93483987,0.79501558,0.63446707,0.51271851,0.10438906,0.057745408,0.016365128,0.031549841
555,0.93555497,0.79545420,0.63432329,0.51295632,0.1044666,0.057427712,0.016192303,0.031384092
556,0.93544531,0.79496048,0.63428217,0.51273672,0.10458426,0.057469674,0.016138393,0.031308409
557,0.93532728,0.79480229,0.63420864,0.51229867,0.10449086,0.057385016,0.016043017,0.031342915
558,0.93482994,0.79480787,0.6339203,0.51197740,0.10447702,0.057462536,0.01607356,0.031312203
559,0.93480007,0.79475075,0.63367706,0.51157255,0.10441525,0.057708786,0.016274339,0.031371575
