wl,uR,B,G,R
473,-1.74884296231278E-06,0.012001120133792,0.004068442412859,0.001113115394569
474,-3.85823301973431E-07,0.011934416001919,0.004173488391154,0.001140786467729
475,9.77196358365914E-07,0.011867711870047,0.004278534369449,0.001168457540888
476,-1.198034478956E-06,0.011728737134579,0.00434293478304,0.001182814458266
477,-3.37326531627791E-06,0.01158976239911,0.004407335196632,0.001197171375644
478,-5.54849615359982E-06,0.011450787663642,0.004471735610223,0.001211528293022
479,-7.72372699092173E-06,0.011311812928174,0.004536136023815,0.0012258852104
480,-9.89895782824364E-06,0.011172838192705,0.004600536437406,0.001240242127778
481,-5.40423433727531E-06,0.011022817788436,0.004633961723291,0.001226478968949
482,-9.0951084630698E-07,0.010872797384166,0.004667387009175,0.00121271581012
483,3.58521264466135E-06,0.010722776979897,0.00470081229506,0.001198952651292
484,8.07993613562968E-06,0.010572756575627,0.004734237580945,0.001185189492463
485,1.2574659626598E-05,0.010422736171357,0.004767662866829,0.001171426333634
486,9.39337008258072E-06,0.010260106410296,0.004822259697443,0.001159695390337
487,6.21208053856344E-06,0.010097476649236,0.004876856528057,0.00114796444704
488,3.03079099454615E-06,0.009934846888175,0.004931453358671,0.001136233503743
489,-1.50498549471135E-07,0.009772217127114,0.004986050189285,0.001124502560445
490,-3.33178809348842E-06,0.009609587366053,0.005040647019899,0.001112771617148
491,-1.30421929589724E-06,0.009413886740723,0.005135295944169,0.001119344906177
492,7.23349501693936E-07,0.009218186115393,0.005229944868439,0.001125918195206
493,2.75091829928511E-06,0.009022485490064,0.005324593792709,0.001132491484235
494,4.77848709687629E-06,0.008826784864734,0.005419242716979,0.001139064773264
495,6.80605589446747E-06,0.008631084239404,0.005513891641249,0.001145638062293
496,6.6327563585444E-06,0.008401903095501,0.005640579555323,0.001141164487977
497,6.45945682262133E-06,0.008172721951598,0.005767267469397,0.00113669091366
498,6.28615728669825E-06,0.007943540807694,0.005893955383471,0.001132217339344
499,6.11285775077518E-06,0.007714359663791,0.006020643297545,0.001127743765027
500,5.93955821485211E-06,0.007485178519887,0.006147331211619,0.00112327019071
501,3.83273929934533E-06,0.007283764311633,0.006320972651424,0.001172629984693
502,1.72592038383856E-06,0.007082350103379,0.006494614091228,0.001221989778675
503,-3.80898531668217E-07,0.006880935895126,0.006668255531033,0.001271349572657
504,-2.48771744717499E-06,0.006679521686872,0.006841896970837,0.00132070936664
505,-4.59453636268177E-06,0.006478107478618,0.007015538410641,0.001370069160622
506,-2.20616979703706E-06,0.006276520757982,0.007171196920963,0.001416714088009
507,1.82196768607647E-07,0.006074934037346,0.007326855431285,0.001463359015396
508,2.57056333425235E-06,0.005873347316711,0.007482513941607,0.001510003942783
509,4.95892989989706E-06,0.005671760596075,0.007638172451929,0.00155664887017
510,7.34729646554177E-06,0.005470173875439,0.007793830962251,0.001603293797557
511,6.42626438533735E-06,0.005271779126211,0.007938666281502,0.001652611830227
512,5.50523230513294E-06,0.005073384376983,0.008083501600753,0.001701929862897
513,4.58420022492852E-06,0.004874989627755,0.008228336920004,0.001751247895567
514,3.66316814472411E-06,0.004676594878528,0.008373172239254,0.001800565928238
515,2.74213606451969E-06,0.0044782001293,0.008518007558505,0.001849883960908
516,3.16487837286859E-06,0.004305399602586,0.008618963472552,0.001954967250574
517,3.58762068121749E-06,0.004132599075873,0.008719919386598,0.002060050540241
518,4.01036298956639E-06,0.003959798549159,0.008820875300645,0.002165133829908
519,4.43310529791529E-06,0.003786998022446,0.008921831214691,0.002270217119575
520,4.85584760626419E-06,0.003614197495733,0.009022787128738,0.002375300409241
521,5.66361433908961E-06,0.003488637873081,0.009094081592587,0.002447339456024
522,6.47138107191503E-06,0.00336307825043,0.009165376056435,0.002519378502807
523,7.27914780474046E-06,0.003237518627779,0.009236670520284,0.002591417549589
524,8.08691453756588E-06,0.003111959005128,0.009307964984133,0.002663456596372
525,8.89468127039131E-06,0.002986399382477,0.009379259447982,0.002735495643155
526,9.40847610333738E-06,0.002872342602768,0.009383206924633,0.002745893279236
527,9.92227093628345E-06,0.002758285823059,0.009387154401284,0.002756290915317
528,1.04360657692295E-05,0.00264422904335,0.009391101877936,0.002766688551398
529,1.09498606021756E-05,0.002530172263641,0.009395049354587,0.002777086187479
530,1.14636554351217E-05,0.002416115483932,0.009398996831238,0.002787483823561
531,1.06868996602474E-05,0.00236209954264,0.009479619927461,0.002734934969514
